"強度
\
波段",Yellow,,
,,Algorithm,Regression
753,0.7792,0.6641,0.6533
754,0.7796,0.6648,0.6537
755,0.78,0.6655,0.6541
756,0.7804,0.6664,0.6546
757,0.7808,0.6672,0.6552
758,0.7812,0.6681,0.6558
759,0.7816,0.669,0.6564
760,0.782,0.6699,0.657
761,0.7818,0.6695,0.6565
762,0.7816,0.6692,0.656
763,0.7814,0.6689,0.6555
764,0.7812,0.6685,0.655
765,0.781,0.6682,0.6545
766,0.7752,0.6634,0.6497
767,0.7694,0.6587,0.645
768,0.7636,0.6539,0.6403
769,0.7578,0.6491,0.6356
770,0.752,0.6443,0.6309
771,0.7472,0.6401,0.6267
772,0.7424,0.6359,0.6225
773,0.7376,0.6316,0.6184
774,0.7328,0.6274,0.6142
775,0.728,0.6231,0.61
776,0.7244,0.62,0.607
777,0.7208,0.6168,0.6039
778,0.7172,0.6136,0.6008
779,0.7136,0.6105,0.5977
780,0.71,0.6073,0.5946
